Classifier,Dataset,Fit-Time,Predict-Time
Hydra,ACSF1,5.65,5.46
Hydra,Adiac,1.5,1.2
Hydra,ArrowHead,0.21,1.08
Hydra,Beef,0.51,0.39
Hydra,BeetleFly,0.36,0.31
Hydra,BirdChicken,0.4,0.31
Hydra,BME,0.14,0.36
Hydra,Car,1.24,1.15
Hydra,CBF,0.09,2.2
Hydra,Chinatown,0.05,0.09
Hydra,ChlorineConcentration,2.45,17.39
Hydra,CinCECGTorso,2.61,85.95
Hydra,Coffee,0.29,0.23
Hydra,Computers,5.5,5.73
Hydra,CricketX,3.58,3.48
Hydra,CricketY,3.78,3.55
Hydra,CricketZ,3.77,3.58
Hydra,Crop,89.04,11.69
Hydra,DiatomSizeReduction,0.23,3.06
Hydra,DistalPhalanxOutlineAgeGroup,0.82,0.19
Hydra,DistalPhalanxOutlineCorrect,1.27,0.38
Hydra,DistalPhalanxTW,0.85,0.26
Hydra,Earthquakes,5.05,2.07
Hydra,ECG200,0.25,0.18
Hydra,ECG5000,2.09,16.43
Hydra,ECGFiveDays,0.11,2.76
Hydra,ElectricDevices,181.28,13.19
Hydra,EOGHorizontalSignal,18.11,17.66
Hydra,EOGVerticalSignal,18.44,18.12
Hydra,EthanolLevel,35.72,32.68
Hydra,FaceAll,2.55,6.2
Hydra,FaceFour,0.33,0.97
Hydra,FacesUCR,0.84,7.39
Hydra,FiftyWords,3.39,3.39
Hydra,Fish,2.32,2.19
Hydra,FordA,75.09,17.69
Hydra,FordB,87.7,12.51
Hydra,FreezerRegularTrain,1.42,25.13
Hydra,FreezerSmallTrain,0.29,25.26
Hydra,GunPoint,0.21,0.53
Hydra,GunPointAgeSpan,0.52,1.1
Hydra,GunPointMaleVersusFemale,0.6,1.18
Hydra,GunPointOldVersusYoung,0.5,1.07
Hydra,Ham,1.61,1.51
Hydra,HandOutlines,93.05,36.26
Hydra,Haptics,5.77,11.12
Hydra,Herring,0.93,0.93
Hydra,HouseTwenty,3.25,8.85
Hydra,InlineSkate,6.5,31.78
Hydra,InsectEPGRegularTrain,1.35,5.36
Hydra,InsectEPGSmallTrain,0.34,5.07
Hydra,InsectWingbeatSound,1.39,11.09
Hydra,ItalyPowerDemand,0.03,0.24
Hydra,LargeKitchenAppliances,7.86,7.41
Hydra,Lightning2,1.32,1.33
Hydra,Lightning7,0.64,0.63
Hydra,Mallat,1.67,65.28
Hydra,Meat,0.73,0.71
Hydra,MedicalImages,0.89,1.41
Hydra,MiddlePhalanxOutlineAgeGroup,0.58,0.21
Hydra,MiddlePhalanxOutlineCorrect,1.28,0.38
Hydra,MiddlePhalanxTW,0.68,0.2
Hydra,MixedShapesRegularTrain,17.34,73.77
Hydra,MixedShapesSmallTrain,2.98,68.59
Hydra,MoteStrain,0.05,2.03
Hydra,NonInvasiveFetalECGThorax1,46.59,46.41
Hydra,NonInvasiveFetalECGThorax2,45.95,45.96
Hydra,OliveOil,0.69,0.67
Hydra,OSULeaf,2.74,3.12
Hydra,PhalangesOutlinesCorrect,6.47,1.2
Hydra,Phoneme,7.52,59.66
Hydra,PickupGestureWiimoteZ,0.56,0.53
Hydra,PigAirwayPressure,7.22,14.88
Hydra,PigArtPressure,7.86,13.96
Hydra,PigCVP,6.91,12.78
Hydra,Plane,0.38,0.35
Hydra,PowerCons,0.61,0.59
Hydra,ProximalPhalanxOutlineAgeGroup,0.79,0.26
Hydra,ProximalPhalanxOutlineCorrect,1.14,0.37
Hydra,ProximalPhalanxTW,0.76,0.3
Hydra,RefrigerationDevices,8.75,8.5
Hydra,Rock,2.13,5.5
Hydra,ScreenType,7.69,7.27
Hydra,SemgHandGenderCh2,17.54,29.66
Hydra,SemgHandMovementCh2,28.52,26.45
Hydra,SemgHandSubjectCh2,24.85,21.53
Hydra,ShakeGestureWiimoteZ,0.57,0.52
Hydra,ShapeletSim,0.29,2.68
Hydra,ShapesAll,9.04,7.65
Hydra,SmallKitchenAppliances,7.68,7.35
Hydra,SmoothSubspace,0.04,0.01
Hydra,SonyAIBORobotSurface1,0.04,0.69
Hydra,SonyAIBORobotSurface2,0.05,1.22
Hydra,StarLightCurves,27.47,188.28
Hydra,Strawberry,3.37,1.92
Hydra,SwedishLeaf,1.1,1.4
Hydra,Symbols,0.21,10.4
Hydra,SyntheticControl,0.41,0.27
Hydra,ToeSegmentation1,0.25,1.51
Hydra,ToeSegmentation2,0.36,1.26
Hydra,Trace,0.75,0.7
Hydra,TwoLeadECG,0.09,1.75
Hydra,TwoPatterns,3.45,9.41
Hydra,UMD,0.15,0.52
Hydra,UWaveGestureLibraryAll,26.18,94.33
Hydra,UWaveGestureLibraryX,7.98,29.72
Hydra,UWaveGestureLibraryY,9.09,25.75
Hydra,UWaveGestureLibraryZ,8.58,30.62
Hydra,Wafer,4.76,22.04
Hydra,Wine,0.32,0.27
Hydra,WordSynonyms,2.05,4.36
Hydra,Worms,5.19,2.39
Hydra,WormsTwoClass,5.57,2.22
Hydra,Yoga,2.98,26.16
R_DST,ACSF1,45.6,33.48
R_DST,Adiac,18.71,15.91
R_DST,ArrowHead,3.3,10.57
R_DST,Beef,5.61,2.83
R_DST,BeetleFly,3.62,2.12
R_DST,BirdChicken,4.32,2.86
R_DST,BME,1.53,3.75
R_DST,Car,9.16,9.78
R_DST,CBF,1.7,26.66
R_DST,Chinatown,0.3,1.33
R_DST,ChlorineConcentration,18.0,111.16
R_DST,CinCECGTorso,19.44,451.41
R_DST,Coffee,2.89,1.73
R_DST,Computers,45.37,33.48
R_DST,CricketX,23.75,20.31
R_DST,CricketY,23.29,23.41
R_DST,CricketZ,32.33,21.7
R_DST,Crop,347.51,120.5
R_DST,DiatomSizeReduction,3.11,23.26
R_DST,DistalPhalanxOutlineAgeGroup,6.93,1.87
