Classifier,Dataset,Accuracy
Hydra,PickupGestureWiimoteZ,0.88
Hydra,PigAirwayPressure,0.5576923076923077
Hydra,PigArtPressure,0.9855769230769231
Hydra,PigCVP,0.9471153846153846
Hydra,Plane,1.0
Hydra,PowerCons,0.9722222222222222
Hydra,ProximalPhalanxOutlineAgeGroup,0.8536585365853658
Hydra,ProximalPhalanxOutlineCorrect,0.8969072164948454
Hydra,ProximalPhalanxTW,0.8146341463414634
Hydra,RefrigerationDevices,0.47733333333333333
Hydra,Rock,0.88
Hydra,ScreenType,0.47733333333333333
Hydra,SemgHandGenderCh2,0.8366666666666667
Hydra,SemgHandMovementCh2,0.4911111111111111
Hydra,SemgHandSubjectCh2,0.78
Hydra,ShakeGestureWiimoteZ,0.9
Hydra,ShapeletSim,0.9888888888888889
Hydra,ShapesAll,0.92
Hydra,SmallKitchenAppliances,0.7946666666666666
Hydra,SmoothSubspace,0.96
Hydra,SonyAIBORobotSurface1,0.9201331114808652
Hydra,SonyAIBORobotSurface2,0.9517313746065058
Hydra,StarLightCurves,0.9789946576007771
Hydra,Strawberry,0.9783783783783784
Hydra,SwedishLeaf,0.9776
Hydra,Symbols,0.9809045226130654
Hydra,SyntheticControl,0.9533333333333334
Hydra,ToeSegmentation1,0.956140350877193
Hydra,ToeSegmentation2,0.9
Hydra,Trace,1.0
Hydra,TwoLeadECG,0.9991220368744512
Hydra,TwoPatterns,0.97425
Hydra,UMD,0.9861111111111112
Hydra,UWaveGestureLibraryAll,0.9706867671691792
Hydra,UWaveGestureLibraryX,0.8472920156337241
Hydra,UWaveGestureLibraryY,0.7878280290340591
Hydra,UWaveGestureLibraryZ,0.7903405918481295
Hydra,Wafer,1.0
Hydra,Wine,0.9074074074074074
Hydra,WordSynonyms,0.7178683385579937
Hydra,Worms,0.7402597402597403
Hydra,WormsTwoClass,0.7922077922077922
Hydra,Yoga,0.921
R_DST,ACSF1,0.93
R_DST,Adiac,0.7289002557544757
R_DST,ArrowHead,0.8571428571428571
R_DST,Beef,0.8333333333333334
R_DST,BeetleFly,0.95
R_DST,BirdChicken,0.9
R_DST,BME,0.9933333333333333
R_DST,Car,0.9166666666666666
R_DST,CBF,0.9933333333333333
R_DST,Chinatown,0.9825072886297376
R_DST,ChlorineConcentration,0.7671875
R_DST,CinCECGTorso,0.9942028985507246
R_DST,Coffee,1.0
R_DST,Computers,0.748
R_DST,CricketX,0.8153846153846154
R_DST,CricketY,0.8461538461538461
R_DST,CricketZ,0.8692307692307693
R_DST,Crop,0.7648214285714285
R_DST,DiatomSizeReduction,0.9313725490196079
R_DST,DistalPhalanxOutlineAgeGroup,0.7841726618705036
R_DST,DistalPhalanxOutlineCorrect,0.7753623188405797
R_DST,DistalPhalanxTW,0.7122302158273381
R_DST,Earthquakes,0.7266187050359713
R_DST,ECG200,0.9
R_DST,ECG5000,0.9457777777777778
R_DST,ECGFiveDays,1.0
R_DST,ElectricDevices,0.7401115289845674
R_DST,EOGHorizontalSignal,0.6712707182320442
R_DST,EOGVerticalSignal,0.5497237569060773
R_DST,EthanolLevel,0.636
R_DST,FaceAll,0.7964497041420119
R_DST,FaceFour,0.9886363636363636
R_DST,FacesUCR,0.9629268292682926
R_DST,FiftyWords,0.8395604395604396
R_DST,Fish,0.9942857142857143
R_DST,FordA,0.9515151515151515
R_DST,FordB,0.8160493827160494
R_DST,FreezerRegularTrain,0.9954385964912281
R_DST,FreezerSmallTrain,0.9870175438596491
R_DST,GunPoint,1.0
R_DST,GunPointAgeSpan,0.9968354430379747
R_DST,GunPointMaleVersusFemale,1.0
R_DST,GunPointOldVersusYoung,1.0
R_DST,Ham,0.7142857142857143
R_DST,HandOutlines,0.9486486486486486
R_DST,Haptics,0.577922077922078
R_DST,Herring,0.6875
R_DST,HouseTwenty,0.9663865546218487
R_DST,InlineSkate,0.4490909090909091
R_DST,InsectEPGRegularTrain,1.0
R_DST,InsectEPGSmallTrain,0.9919678714859438
R_DST,InsectWingbeatSound,0.6636363636363637
R_DST,ItalyPowerDemand,0.9378036929057337
R_DST,LargeKitchenAppliances,0.8373333333333334
R_DST,Lightning2,0.7868852459016393
R_DST,Lightning7,0.7808219178082192
R_DST,Mallat,0.9411513859275054
R_DST,Meat,0.9166666666666666
R_DST,MedicalImages,0.7644736842105263
R_DST,MiddlePhalanxOutlineAgeGroup,0.5714285714285714
R_DST,MiddlePhalanxOutlineCorrect,0.8247422680412371
R_DST,MiddlePhalanxTW,0.5194805194805194
R_DST,MixedShapesRegularTrain,0.9814432989690721
R_DST,MixedShapesSmallTrain,0.9657731958762886
R_DST,MoteStrain,0.9400958466453674
R_DST,NonInvasiveFetalECGThorax1,0.9211195928753181
R_DST,NonInvasiveFetalECGThorax2,0.9379134860050891
R_DST,OliveOil,0.8333333333333334
R_DST,OSULeaf,0.9834710743801653
R_DST,PhalangesOutlinesCorrect,0.8065268065268065
R_DST,Phoneme,0.3444092827004219
R_DST,PickupGestureWiimoteZ,0.88
R_DST,PigAirwayPressure,0.8317307692307693
R_DST,PigArtPressure,0.9567307692307693
R_DST,PigCVP,0.9326923076923077
R_DST,Plane,1.0
R_DST,PowerCons,0.9944444444444445
R_DST,ProximalPhalanxOutlineAgeGroup,0.8439024390243902
R_DST,ProximalPhalanxOutlineCorrect,0.8969072164948454
R_DST,ProximalPhalanxTW,0.824390243902439
R_DST,RefrigerationDevices,0.5733333333333334
R_DST,Rock,0.88
R_DST,ScreenType,0.5013333333333333
R_DST,SemgHandGenderCh2,0.9233333333333333
R_DST,SemgHandMovementCh2,0.6911111111111111
R_DST,SemgHandSubjectCh2,0.8755555555555555
R_DST,ShakeGestureWiimoteZ,0.88
R_DST,ShapeletSim,1.0
R_DST,ShapesAll,0.9233333333333333
R_DST,SmallKitchenAppliances,0.84
R_DST,SmoothSubspace,0.9866666666666667
R_DST,SonyAIBORobotSurface1,0.8685524126455907
R_DST,SonyAIBORobotSurface2,0.9265477439664218
R_DST,StarLightCurves,0.982030111704711
R_DST,Strawberry,0.9702702702702702
R_DST,SwedishLeaf,0.9632
R_DST,Symbols,0.9809045226130654
R_DST,SyntheticControl,0.9966666666666667
R_DST,ToeSegmentation1,0.956140350877193
R_DST,ToeSegmentation2,0.9153846153846154
R_DST,Trace,1.0
R_DST,TwoLeadECG,0.9991220368744512
R_DST,TwoPatterns,1.0
R_DST,UMD,1.0
R_DST,UWaveGestureLibraryAll,0.9790619765494137
R_DST,UWaveGestureLibraryX,0.8539921831379118
R_DST,UWaveGestureLibraryY,0.7629815745393634
R_DST,UWaveGestureLibraryZ,0.7989949748743719
R_DST,Wafer,1.0
R_DST,Wine,0.9074074074074074
R_DST,WordSynonyms,0.7366771159874608
R_DST,Worms,0.6883116883116883
R_DST,WormsTwoClass,0.7662337662337663
R_DST,Yoga,0.931
Rocket,ACSF1,0.88
Rocket,Adiac,0.7877237851662404
Rocket,ArrowHead,0.8171428571428572
Rocket,Beef,0.8333333333333334
Rocket,BeetleFly,0.9
Rocket,BirdChicken,0.9
Rocket,BME,1.0
Rocket,Car,0.9
Rocket,CBF,1.0
Rocket,Chinatown,0.9825072886297376
Rocket,ChlorineConcentration,0.8166666666666667
Rocket,CinCECGTorso,0.8369565217391305
Rocket,Coffee,1.0
Rocket,Computers,0.76
Rocket,CricketX,0.8256410256410256
Rocket,CricketY,0.8461538461538461
Rocket,CricketZ,0.8487179487179487
Rocket,Crop,0.7528571428571429
Rocket,DiatomSizeReduction,0.9673202614379085
Rocket,DistalPhalanxOutlineAgeGroup,0.7697841726618705
Rocket,DistalPhalanxOutlineCorrect,0.7753623188405797
Rocket,DistalPhalanxTW,0.7194244604316546
Rocket,Earthquakes,0.7482014388489209
Rocket,ECG200,0.91
Rocket,ECG5000,0.9475555555555556
Rocket,ECGFiveDays,1.0
Rocket,ElectricDevices,0.7297367397224744
Rocket,EOGHorizontalSignal,0.6408839779005525
Rocket,EOGVerticalSignal,0.5469613259668509
Rocket,EthanolLevel,0.578
Rocket,FaceAll,0.9502958579881656
Rocket,FaceFour,0.9772727272727273
Rocket,FacesUCR,0.9624390243902439
Rocket,FiftyWords,0.8285714285714286
Rocket,Fish,0.9828571428571429
Rocket,FordA,0.95
Rocket,FordB,0.8074074074074075
Rocket,FreezerRegularTrain,0.9975438596491228
Rocket,FreezerSmallTrain,0.9431578947368421
Rocket,GunPoint,1.0
Rocket,GunPointAgeSpan,0.9968354430379747
Rocket,GunPointMaleVersusFemale,1.0
Rocket,GunPointOldVersusYoung,0.9904761904761905
Rocket,Ham,0.7047619047619048
Rocket,HandOutlines,0.9432432432432433
Rocket,Haptics,0.5227272727272727
Rocket,Herring,0.703125
Rocket,HouseTwenty,0.9663865546218487
Rocket,InlineSkate,0.4618181818181818
Rocket,InsectEPGRegularTrain,1.0
Rocket,InsectEPGSmallTrain,0.9759036144578314
Rocket,InsectWingbeatSound,0.6590909090909091
Rocket,ItalyPowerDemand,0.967930029154519
Rocket,LargeKitchenAppliances,0.9066666666666666
Rocket,Lightning2,0.7540983606557377
Rocket,Lightning7,0.821917808219178
Rocket,Mallat,0.9556503198294243
Rocket,Meat,0.95
Rocket,MedicalImages,0.7960526315789473
Rocket,MiddlePhalanxOutlineAgeGroup,0.6038961038961039
Rocket,MiddlePhalanxOutlineCorrect,0.852233676975945
Rocket,MiddlePhalanxTW,0.5584415584415584
Rocket,MixedShapesRegularTrain,0.9690721649484536
Rocket,MixedShapesSmallTrain,0.9402061855670103
Rocket,MoteStrain,0.9137380191693291
Rocket,NonInvasiveFetalECGThorax1,0.9506361323155216
Rocket,NonInvasiveFetalECGThorax2,0.9689567430025445
Rocket,OliveOil,0.9333333333333333
Rocket,OSULeaf,0.9462809917355371
Rocket,PhalangesOutlinesCorrect,0.8333333333333334
Rocket,Phoneme,0.27637130801687765
Rocket,PickupGestureWiimoteZ,0.84
Rocket,PigAirwayPressure,0.08653846153846154
Rocket,PigArtPressure,0.9567307692307693
Rocket,PigCVP,0.9375
Rocket,Plane,1.0
Rocket,PowerCons,0.9333333333333333
Rocket,ProximalPhalanxOutlineAgeGroup,0.8536585365853658
Rocket,ProximalPhalanxOutlineCorrect,0.8969072164948454
Rocket,ProximalPhalanxTW,0.824390243902439
Rocket,RefrigerationDevices,0.5333333333333333
Rocket,Rock,0.9
Rocket,ScreenType,0.48533333333333334
Rocket,SemgHandGenderCh2,0.9083333333333333
Rocket,SemgHandMovementCh2,0.6666666666666666
Rocket,SemgHandSubjectCh2,0.8866666666666667
Rocket,ShakeGestureWiimoteZ,0.9
Rocket,ShapeletSim,1.0
Rocket,ShapesAll,0.9066666666666666
Rocket,SmallKitchenAppliances,0.8213333333333334
Rocket,SmoothSubspace,0.98
Rocket,SonyAIBORobotSurface1,0.9168053244592346
Rocket,SonyAIBORobotSurface2,0.9150052465897167
Rocket,StarLightCurves,0.9793589120932491
Rocket,Strawberry,0.981081081081081
Rocket,SwedishLeaf,0.9664
Rocket,Symbols,0.9738693467336683
Rocket,SyntheticControl,1.0
Rocket,ToeSegmentation1,0.9649122807017544
Rocket,ToeSegmentation2,0.9230769230769231
Rocket,Trace,1.0
Rocket,TwoLeadECG,0.9991220368744512
Rocket,TwoPatterns,1.0
Rocket,UMD,0.9930555555555556
Rocket,UWaveGestureLibraryAll,0.97571189279732
Rocket,UWaveGestureLibraryX,0.8534338358458962
Rocket,UWaveGestureLibraryY,0.774427694025684
Rocket,UWaveGestureLibraryZ,0.7975991066443328
Rocket,Wafer,0.9985399091499026
Rocket,Wine,0.7777777777777778
Rocket,WordSynonyms,0.7539184952978056
Rocket,Worms,0.7402597402597403
Rocket,WormsTwoClass,0.8051948051948052
Rocket,Yoga,0.9163333333333333
MiniRocket,ACSF1,0.92
MiniRocket,Adiac,0.8414322250639387
MiniRocket,ArrowHead,0.8628571428571429
MiniRocket,Beef,0.8666666666666667
MiniRocket,BeetleFly,0.9
MiniRocket,BirdChicken,0.9
MiniRocket,BME,1.0
MiniRocket,Car,0.9166666666666666
MiniRocket,CBF,0.9988888888888889
MiniRocket,Chinatown,0.9825072886297376
MiniRocket,ChlorineConcentration,0.75625
MiniRocket,CinCECGTorso,0.868840579710145
MiniRocket,Coffee,1.0
MiniRocket,Computers,0.708
MiniRocket,CricketX,0.8076923076923077
MiniRocket,CricketY,0.8307692307692308
MiniRocket,CricketZ,0.8282051282051283
MiniRocket,Crop,0.7490476190476191
MiniRocket,DiatomSizeReduction,0.9248366013071896
MiniRocket,DistalPhalanxOutlineAgeGroup,0.7482014388489209
MiniRocket,DistalPhalanxOutlineCorrect,0.782608695652174
MiniRocket,DistalPhalanxTW,0.6906474820143885
MiniRocket,Earthquakes,0.7482014388489209
MiniRocket,ECG200,0.92
MiniRocket,ECG5000,0.9446666666666667
MiniRocket,ECGFiveDays,1.0
MiniRocket,ElectricDevices,0.7455582933471664
MiniRocket,EOGHorizontalSignal,0.5883977900552486
MiniRocket,EOGVerticalSignal,0.5469613259668509
MiniRocket,EthanolLevel,0.61
MiniRocket,FaceAll,0.8041420118343195
MiniRocket,FaceFour,0.9886363636363636
MiniRocket,FacesUCR,0.9556097560975609
MiniRocket,FiftyWords,0.8351648351648352
MiniRocket,Fish,0.9714285714285714
MiniRocket,FordA,0.9477272727272728
MiniRocket,FordB,0.8123456790123457
MiniRocket,FreezerRegularTrain,0.9992982456140351
MiniRocket,FreezerSmallTrain,0.9670175438596491
MiniRocket,GunPoint,0.9933333333333333
MiniRocket,GunPointAgeSpan,0.9936708860759493
MiniRocket,GunPointMaleVersusFemale,1.0
MiniRocket,GunPointOldVersusYoung,1.0
MiniRocket,Ham,0.7142857142857143
MiniRocket,HandOutlines,0.9351351351351351
MiniRocket,Haptics,0.538961038961039
MiniRocket,Herring,0.65625
MiniRocket,HouseTwenty,0.9663865546218487
MiniRocket,InlineSkate,0.4727272727272727
MiniRocket,InsectEPGRegularTrain,1.0
MiniRocket,InsectEPGSmallTrain,0.9919678714859438
MiniRocket,InsectWingbeatSound,0.6767676767676768
MiniRocket,ItalyPowerDemand,0.9659863945578231
MiniRocket,LargeKitchenAppliances,0.8613333333333333
MiniRocket,Lightning2,0.7377049180327869
MiniRocket,Lightning7,0.821917808219178
MiniRocket,Mallat,0.9530916844349681
MiniRocket,Meat,0.95
MiniRocket,MedicalImages,0.7973684210526316
MiniRocket,MiddlePhalanxOutlineAgeGroup,0.6038961038961039
MiniRocket,MiddlePhalanxOutlineCorrect,0.8487972508591065
MiniRocket,MiddlePhalanxTW,0.538961038961039
MiniRocket,MixedShapesRegularTrain,0.9715463917525773
MiniRocket,MixedShapesSmallTrain,0.9550515463917526
MiniRocket,MoteStrain,0.9321086261980831
MiniRocket,NonInvasiveFetalECGThorax1,0.9470737913486005
MiniRocket,NonInvasiveFetalECGThorax2,0.9623409669211196
MiniRocket,OliveOil,0.9333333333333333
MiniRocket,OSULeaf,0.9545454545454546
MiniRocket,PhalangesOutlinesCorrect,0.8344988344988346
MiniRocket,Phoneme,0.2879746835443038
MiniRocket,PickupGestureWiimoteZ,0.86
MiniRocket,PigAirwayPressure,0.8653846153846154
MiniRocket,PigArtPressure,0.9807692307692307
MiniRocket,PigCVP,0.9519230769230769
MiniRocket,Plane,1.0
MiniRocket,PowerCons,0.9888888888888889
MiniRocket,ProximalPhalanxOutlineAgeGroup,0.848780487804878
MiniRocket,ProximalPhalanxOutlineCorrect,0.9072164948453608
MiniRocket,ProximalPhalanxTW,0.8195121951219512
MiniRocket,RefrigerationDevices,0.488
MiniRocket,Rock,0.78
MiniRocket,ScreenType,0.4693333333333333
MiniRocket,SemgHandGenderCh2,0.9016666666666666
MiniRocket,SemgHandMovementCh2,0.7022222222222222
MiniRocket,SemgHandSubjectCh2,0.8622222222222222
MiniRocket,ShakeGestureWiimoteZ,0.88
MiniRocket,ShapeletSim,1.0
MiniRocket,ShapesAll,0.92
MiniRocket,SmallKitchenAppliances,0.8186666666666667
MiniRocket,SmoothSubspace,0.96
MiniRocket,SonyAIBORobotSurface1,0.8885191347753744
MiniRocket,SonyAIBORobotSurface2,0.9097586568730325
MiniRocket,StarLightCurves,0.9813016027197669
MiniRocket,Strawberry,0.981081081081081
MiniRocket,SwedishLeaf,0.9664
MiniRocket,Symbols,0.9819095477386934
MiniRocket,SyntheticControl,0.98
MiniRocket,ToeSegmentation1,0.9605263157894737
MiniRocket,ToeSegmentation2,0.9153846153846154
MiniRocket,Trace,1.0
MiniRocket,TwoLeadECG,0.9982440737489026
MiniRocket,TwoPatterns,0.99675
MiniRocket,UMD,0.9930555555555556
MiniRocket,UWaveGestureLibraryAll,0.9734785036292574
MiniRocket,UWaveGestureLibraryX,0.8458961474036851
MiniRocket,UWaveGestureLibraryY,0.7710776102735901
MiniRocket,UWaveGestureLibraryZ,0.7953657174762703
MiniRocket,Wafer,0.999675535366645
MiniRocket,Wine,0.9074074074074074
MiniRocket,WordSynonyms,0.7539184952978056
MiniRocket,Worms,0.7662337662337663
MiniRocket,WormsTwoClass,0.7922077922077922
MiniRocket,Yoga,0.9083333333333333
MrSQM_SFA_k5,ACSF1,0.91
MrSQM_SFA_k5,Adiac,0.8132992327365729
MrSQM_SFA_k5,ArrowHead,0.7885714285714286
MrSQM_SFA_k5,Beef,0.8
MrSQM_SFA_k5,BeetleFly,0.95
MrSQM_SFA_k5,BirdChicken,0.9
MrSQM_SFA_k5,BME,0.8133333333333334
MrSQM_SFA_k5,Car,0.85
MrSQM_SFA_k5,CBF,0.9988888888888889
MrSQM_SFA_k5,Chinatown,0.9708454810495627
MrSQM_SFA_k5,ChlorineConcentration,0.7067708333333333
MrSQM_SFA_k5,CinCECGTorso,0.9340579710144927
MrSQM_SFA_k5,Coffee,1.0
MrSQM_SFA_k5,Computers,0.74
MrSQM_SFA_k5,CricketX,0.7923076923076923
MrSQM_SFA_k5,CricketY,0.8102564102564103
MrSQM_SFA_k5,CricketZ,0.8025641025641026
MrSQM_SFA_k5,Crop,0.7104761904761905
MrSQM_SFA_k5,DiatomSizeReduction,0.8888888888888888
MrSQM_SFA_k5,DistalPhalanxOutlineAgeGroup,0.7338129496402878
MrSQM_SFA_k5,DistalPhalanxOutlineCorrect,0.7391304347826086
MrSQM_SFA_k5,DistalPhalanxTW,0.6762589928057554
MrSQM_SFA_k5,Earthquakes,0.7338129496402878
MrSQM_SFA_k5,ECG200,0.85
MrSQM_SFA_k5,ECG5000,0.9468888888888889
MrSQM_SFA_k5,ECGFiveDays,1.0
MrSQM_SFA_k5,ElectricDevices,0.7541174944883932
MrSQM_SFA_k5,EOGHorizontalSignal,0.6685082872928176
MrSQM_SFA_k5,EOGVerticalSignal,0.494475138121547
MrSQM_SFA_k5,EthanolLevel,0.676
MrSQM_SFA_k5,FaceAll,0.808284023668639
MrSQM_SFA_k5,FaceFour,0.9886363636363636
MrSQM_SFA_k5,FacesUCR,0.9292682926829269
MrSQM_SFA_k5,FiftyWords,0.7626373626373626
MrSQM_SFA_k5,Fish,0.9942857142857143
MrSQM_SFA_k5,FordA,0.9628787878787879
MrSQM_SFA_k5,FordB,0.8148148148148148
MrSQM_SFA_k5,FreezerRegularTrain,0.9978947368421053
MrSQM_SFA_k5,FreezerSmallTrain,0.9908771929824561
MrSQM_SFA_k5,GunPoint,1.0
MrSQM_SFA_k5,GunPointAgeSpan,0.9968354430379747
MrSQM_SFA_k5,GunPointMaleVersusFemale,1.0
MrSQM_SFA_k5,GunPointOldVersusYoung,0.9968253968253968
MrSQM_SFA_k5,Ham,0.6
MrSQM_SFA_k5,HandOutlines,0.9459459459459459
MrSQM_SFA_k5,Haptics,0.5811688311688312
MrSQM_SFA_k5,Herring,0.65625
MrSQM_SFA_k5,HouseTwenty,0.9915966386554622
MrSQM_SFA_k5,InlineSkate,0.4527272727272727
MrSQM_SFA_k5,InsectEPGRegularTrain,0.9919678714859438
MrSQM_SFA_k5,InsectEPGSmallTrain,0.8152610441767069
MrSQM_SFA_k5,InsectWingbeatSound,0.6494949494949495
MrSQM_SFA_k5,ItalyPowerDemand,0.9465500485908649
MrSQM_SFA_k5,LargeKitchenAppliances,0.8773333333333333
MrSQM_SFA_k5,Lightning2,0.8032786885245902
MrSQM_SFA_k5,Lightning7,0.7397260273972602
MrSQM_SFA_k5,Mallat,0.9752665245202559
MrSQM_SFA_k5,Meat,0.9166666666666666
MrSQM_SFA_k5,MedicalImages,0.725
MrSQM_SFA_k5,MiddlePhalanxOutlineAgeGroup,0.5714285714285714
MrSQM_SFA_k5,MiddlePhalanxOutlineCorrect,0.8006872852233677
MrSQM_SFA_k5,MiddlePhalanxTW,0.512987012987013
MrSQM_SFA_k5,MixedShapesRegularTrain,0.9764948453608248
MrSQM_SFA_k5,MixedShapesSmallTrain,0.9649484536082474
MrSQM_SFA_k5,MoteStrain,0.9624600638977636
MrSQM_SFA_k5,NonInvasiveFetalECGThorax1,0.9297709923664123
MrSQM_SFA_k5,NonInvasiveFetalECGThorax2,0.9475826972010178
MrSQM_SFA_k5,OliveOil,0.9666666666666667
MrSQM_SFA_k5,OSULeaf,0.987603305785124
MrSQM_SFA_k5,PhalangesOutlinesCorrect,0.8065268065268065
MrSQM_SFA_k5,Phoneme,0.3707805907172996
MrSQM_SFA_k5,PickupGestureWiimoteZ,0.8
MrSQM_SFA_k5,PigAirwayPressure,0.9423076923076923
MrSQM_SFA_k5,PigArtPressure,0.9903846153846154
MrSQM_SFA_k5,PigCVP,0.9326923076923077
MrSQM_SFA_k5,Plane,1.0
MrSQM_SFA_k5,PowerCons,0.9444444444444444
MrSQM_SFA_k5,ProximalPhalanxOutlineAgeGroup,0.8292682926829268
MrSQM_SFA_k5,ProximalPhalanxOutlineCorrect,0.8694158075601375
MrSQM_SFA_k5,ProximalPhalanxTW,0.7853658536585366
MrSQM_SFA_k5,RefrigerationDevices,0.5946666666666667
MrSQM_SFA_k5,Rock,0.96
MrSQM_SFA_k5,ScreenType,0.5706666666666667
MrSQM_SFA_k5,SemgHandGenderCh2,0.8516666666666667
MrSQM_SFA_k5,SemgHandMovementCh2,0.6088888888888889
MrSQM_SFA_k5,SemgHandSubjectCh2,0.8622222222222222
MrSQM_SFA_k5,ShakeGestureWiimoteZ,0.88
MrSQM_SFA_k5,ShapeletSim,1.0
MrSQM_SFA_k5,ShapesAll,0.95
MrSQM_SFA_k5,SmallKitchenAppliances,0.824
MrSQM_SFA_k5,SmoothSubspace,0.8266666666666667
MrSQM_SFA_k5,SonyAIBORobotSurface1,0.7687188019966722
MrSQM_SFA_k5,SonyAIBORobotSurface2,0.9412381951731374
MrSQM_SFA_k5,StarLightCurves,0.9814230208839242
MrSQM_SFA_k5,Strawberry,0.9702702702702702
MrSQM_SFA_k5,SwedishLeaf,0.9696
MrSQM_SFA_k5,Symbols,0.9809045226130654
MrSQM_SFA_k5,SyntheticControl,0.99
MrSQM_SFA_k5,ToeSegmentation1,0.9692982456140351
MrSQM_SFA_k5,ToeSegmentation2,0.9153846153846154
MrSQM_SFA_k5,Trace,1.0
MrSQM_SFA_k5,TwoLeadECG,0.9964881474978051
MrSQM_SFA_k5,TwoPatterns,0.999
MrSQM_SFA_k5,UMD,0.9444444444444444
MrSQM_SFA_k5,UWaveGestureLibraryAll,0.9508654383026243
MrSQM_SFA_k5,UWaveGestureLibraryX,0.8310999441652708
MrSQM_SFA_k5,UWaveGestureLibraryY,0.7833612506979342
MrSQM_SFA_k5,UWaveGestureLibraryZ,0.7900614182021217
MrSQM_SFA_k5,Wafer,1.0
MrSQM_SFA_k5,Wine,0.8888888888888888
MrSQM_SFA_k5,WordSynonyms,0.6536050156739812
MrSQM_SFA_k5,Worms,0.7402597402597403
MrSQM_SFA_k5,WormsTwoClass,0.7532467532467533
MrSQM_SFA_k5,Yoga,0.9056666666666666
WEASEL,ACSF1,0.87
WEASEL,Adiac,0.8081841432225064
WEASEL,ArrowHead,0.8742857142857143
WEASEL,Beef,0.8333333333333334
WEASEL,BeetleFly,0.75
WEASEL,BirdChicken,0.9
WEASEL,BME,0.9133333333333333
WEASEL,Car,0.9166666666666666
WEASEL,CBF,0.9933333333333333
WEASEL,Chinatown,0.9475218658892128
WEASEL,ChlorineConcentration,0.7278645833333334
WEASEL,CinCECGTorso,0.991304347826087
WEASEL,Coffee,1.0
WEASEL,Computers,0.716
WEASEL,CricketX,0.764102564102564
WEASEL,CricketY,0.7948717948717948
WEASEL,CricketZ,0.7923076923076923
WEASEL,Crop,0.7379166666666667
WEASEL,DiatomSizeReduction,0.8986928104575164
WEASEL,DistalPhalanxOutlineAgeGroup,0.7769784172661871
WEASEL,DistalPhalanxOutlineCorrect,0.7608695652173914
WEASEL,DistalPhalanxTW,0.6690647482014388
WEASEL,Earthquakes,0.7410071942446043
WEASEL,ECG200,0.85
WEASEL,ECG5000,0.9428888888888889
