Classifier,Dataset,Accuracy
Hydra,ACSF1,0.86
Hydra,Adiac,0.7800511508951407
Hydra,ArrowHead,0.8114285714285714
Hydra,Beef,0.8666666666666667
Hydra,BeetleFly,0.95
Hydra,BirdChicken,0.9
Hydra,BME,1.0
Hydra,Car,0.9166666666666666
Hydra,CBF,0.9911111111111112
Hydra,Chinatown,0.9825072886297376
Hydra,ChlorineConcentration,0.7630208333333334
Hydra,CinCECGTorso,0.9934782608695653
Hydra,Coffee,1.0
Hydra,Computers,0.712
Hydra,CricketX,0.7923076923076923
Hydra,CricketY,0.8153846153846154
Hydra,CricketZ,0.823076923076923
Hydra,Crop,0.7220833333333333
Hydra,DiatomSizeReduction,0.9477124183006536
Hydra,DistalPhalanxOutlineAgeGroup,0.7697841726618705
Hydra,DistalPhalanxOutlineCorrect,0.7608695652173914
Hydra,DistalPhalanxTW,0.7122302158273381
Hydra,Earthquakes,0.7482014388489209
Hydra,ECG200,0.88
Hydra,ECG5000,0.9486666666666667
Hydra,ECGFiveDays,1.0
Hydra,ElectricDevices,0.7337569705615354
Hydra,EOGHorizontalSignal,0.5773480662983426
Hydra,EOGVerticalSignal,0.4613259668508287
Hydra,EthanolLevel,0.562
Hydra,FaceAll,0.8982248520710059
Hydra,FaceFour,0.8636363636363636
Hydra,FacesUCR,0.9565853658536585
Hydra,FiftyWords,0.8307692307692308
Hydra,Fish,0.9885714285714285
Hydra,FordA,0.9568181818181818
Hydra,FordB,0.8148148148148148
Hydra,FreezerRegularTrain,0.9982456140350877
Hydra,FreezerSmallTrain,0.8842105263157894
Hydra,GunPoint,1.0
Hydra,GunPointAgeSpan,0.9936708860759493
Hydra,GunPointMaleVersusFemale,1.0
Hydra,GunPointOldVersusYoung,1.0
Hydra,Ham,0.7047619047619048
Hydra,HandOutlines,0.9378378378378378
Hydra,Haptics,0.5292207792207793
Hydra,Herring,0.703125
Hydra,HouseTwenty,0.957983193277311
Hydra,InlineSkate,0.49818181818181817
Hydra,InsectEPGRegularTrain,1.0
Hydra,InsectEPGSmallTrain,1.0
Hydra,InsectWingbeatSound,0.658080808080808
Hydra,ItalyPowerDemand,0.966958211856171
Hydra,LargeKitchenAppliances,0.856
Hydra,Lightning2,0.7540983606557377
Hydra,Lightning7,0.863013698630137
Hydra,Mallat,0.9445628997867804
Hydra,Meat,0.9
Hydra,MedicalImages,0.7644736842105263
Hydra,MiddlePhalanxOutlineAgeGroup,0.6428571428571429
Hydra,MiddlePhalanxOutlineCorrect,0.8384879725085911
Hydra,MiddlePhalanxTW,0.5324675324675324
Hydra,MixedShapesRegularTrain,0.9806185567010309
Hydra,MixedShapesSmallTrain,0.9616494845360825
Hydra,MoteStrain,0.9329073482428115
Hydra,NonInvasiveFetalECGThorax1,0.9435114503816794
Hydra,NonInvasiveFetalECGThorax2,0.95470737913486
Hydra,OliveOil,0.9666666666666667
Hydra,OSULeaf,0.9917355371900827
Hydra,PhalangesOutlinesCorrect,0.803030303030303
Hydra,Phoneme,0.25843881856540085
