Classifier,Dataset,Accuracy,Fit,Predict,Features,Cross-Val
MiniRocket,CricketX,0.808,3.76,3.06,9996
MultiRocket,Adiac,0.836,7.81,5.19,49728
Hydra,CricketX,0.785,4.75,4.28,6144
MiniRocket,Computers,0.708,5.23,4.68,9996
Hydra,CricketY,0.849,4.38,4.27,6144
MiniRocket,CricketY,0.831,3.98,3.03,9996
Hydra,Computers,0.708,6.22,5.99,7168
Hydra,DistalPhalanxOutlineAgeGroup,0.784,1.0,0.28,4096
Hydra,CricketZ,0.79,4.77,4.33,6144
Hydra,DiatomSizeReduction,0.941,0.19,3.27,6144
MiniRocket,DiatomSizeReduction,0.925,0.44,2.84,9996
MiniRocket,CricketZ,0.828,4.82,3.23,9996
MiniRocket,DistalPhalanxOutlineAgeGroup,0.748,1.56,0.37,9996
MiniRocket,ChlorineConcentration,0.756,3.11,15.81,9996
Hydra,DistalPhalanxOutlineCorrect,0.75,1.66,0.46,4096
Hydra,DistalPhalanxTW,0.705,0.96,0.21,4096
MiniRocket,DistalPhalanxOutlineCorrect,0.783,2.25,0.65,9996
Hydra,ChlorineConcentration,0.755,2.94,20.92,5120
MultiRocket,DiatomSizeReduction,0.961,1.28,7.27,49728
MultiRocket,DistalPhalanxOutlineAgeGroup,0.777,5.58,1.42,49728
MiniRocket,DistalPhalanxTW,0.691,1.56,0.38,9996
MultiRocket,CricketX,0.79,12.4,9.71,49728
MultiRocket,CricketY,0.849,12.35,9.62,49728
MultiRocket,DistalPhalanxTW,0.691,5.64,1.44,49728
Hydra,ECG200,0.87,0.22,0.17,4096
MultiRocket,Computers,0.796,14.5,12.08,49728
MultiRocket,DistalPhalanxOutlineCorrect,0.797,8.82,2.2,49728
MiniRocket,ECG200,0.92,0.47,0.32,9996
Rocket,CBF,1.0,1.45,35.7,20000
Hydra,Earthquakes,0.748,5.25,2.11,6144
Rocket,DistalPhalanxOutlineAgeGroup,0.77,11.15,3.58,20000
MultiRocket,CricketZ,0.831,13.27,10.09,49728
MultiRocket,ECG200,0.92,2.33,1.35,49728
MiniRocket,Earthquakes,0.748,4.77,1.88,9996
Hydra,ECGFiveDays,1.0,0.08,3.09,5120
Rocket,ECG200,0.91,3.48,3.15,20000
MiniRocket,ECGFiveDays,1.0,0.28,2.9,9996
Rocket,DistalPhalanxTW,0.719,11.06,3.61,20000
Rocket,DistalPhalanxOutlineCorrect,0.775,16.79,6.92,20000
MultiRocket,ECGFiveDays,1.0,1.02,9.7,49728
Rocket,Adiac,0.788,23.45,21.11,20000
MultiRocket,Earthquakes,0.748,16.71,6.63,49728
Rocket,DiatomSizeReduction,0.967,1.97,32.19,20000
MiniRocket,ECG5000,0.945,2.65,15.31,9996
Hydra,ECG5000,0.948,2.43,18.43,5120
MultiRocket,ChlorineConcentration,0.79,10.89,56.25,49728
MiniRocket,CinCECGTorso,0.869,2.22,58.59,9996
Rocket,ECGFiveDays,1.0,1.24,35.76,20000
MiniRocket,EOGHorizontalSignal,0.588,12.78,11.89,9996
Rocket,CricketX,0.826,37.18,35.47,20000
Hydra,EOGHorizontalSignal,0.566,18.06,16.26,8192
Rocket,CricketY,0.846,37.12,36.17,20000
Rocket,CricketZ,0.849,37.98,35.99,20000
Rocket,ACSF1,0.88,48.89,46.54,20000
Hydra,EOGVerticalSignal,0.486,19.29,16.63,8192
Hydra,FaceAll,0.915,2.47,5.82,5120
Hydra,FaceFour,0.864,0.28,0.92,6144
Hydra,CinCECGTorso,0.993,2.63,80.39,8192
MultiRocket,ECG5000,0.946,9.4,48.87,49728
MiniRocket,FaceFour,0.989,0.47,0.87,9996
MiniRocket,EOGVerticalSignal,0.547,12.38,11.69,9996
MultiRocket,FaceFour,0.955,1.51,2.82,49728
MiniRocket,FaceAll,0.804,2.81,5.6,9996
Hydra,FacesUCR,0.957,0.8,7.29,5120
Rocket,Earthquakes,0.748,52.41,21.52,20000
Rocket,FaceFour,0.977,2.88,9.51,20000
MiniRocket,FacesUCR,0.956,1.0,6.52,9996
Hydra,FiftyWords,0.82,4.22,3.4,6144
Hydra,Fish,0.983,2.15,1.96,6144
MiniRocket,FiftyWords,0.835,3.96,3.21,9996
MultiRocket,EOGHorizontalSignal,0.644,34.7,30.6,49728
MultiRocket,FaceAll,0.803,10.85,18.46,49728
MiniRocket,Fish,0.971,2.41,2.14,9996
MultiRocket,Fish,0.983,6.16,5.13,49728
Rocket,Computers,0.76,58.91,53.89,20000
MultiRocket,FacesUCR,0.961,3.82,22.54,49728
MultiRocket,FiftyWords,0.855,11.2,8.01,49728
MultiRocket,EOGVerticalSignal,0.536,35.52,31.67,49728
MiniRocket,EthanolLevel,0.61,23.81,22.53,9996
Hydra,EthanolLevel,0.578,29.96,28.89,8192
Hydra,Crop,0.721,115.03,12.14,3072
Rocket,Fish,0.983,25.06,24.6,20000
Hydra,FreezerRegularTrain,0.997,1.48,26.56,6144
MultiRocket,CinCECGTorso,0.951,6.65,151.7,49728
Rocket,FiftyWords,0.829,37.53,38.2,20000
Rocket,FaceAll,0.95,24.5,67.31,20000
MiniRocket,FreezerRegularTrain,0.999,1.43,21.07,9996
Hydra,GunPoint,1.0,0.18,0.55,5120
Rocket,FacesUCR,0.962,8.56,81.8,20000
MultiRocket,GunPoint,1.0,1.31,1.99,49728
MiniRocket,GunPoint,0.993,0.4,0.64,9996
Hydra,FreezerSmallTrain,0.895,0.27,26.76,6144
Hydra,GunPointAgeSpan,1.0,0.65,1.05,5120
MultiRocket,EthanolLevel,0.634,60.29,55.52,49728
MiniRocket,GunPointAgeSpan,0.994,0.78,1.23,9996
Rocket,GunPoint,1.0,2.59,7.1,20000
MultiRocket,GunPointAgeSpan,1.0,2.68,3.65,49728
Hydra,GunPointMaleVersusFemale,1.0,0.52,1.05,5120
MiniRocket,GunPointMaleVersusFemale,1.0,0.78,1.25,9996
Hydra,GunPointOldVersusYoung,1.0,0.49,1.06,5120
MultiRocket,GunPointMaleVersusFemale,1.0,2.68,3.65,49728
MiniRocket,FreezerSmallTrain,0.967,0.47,21.43,9996
MiniRocket,GunPointOldVersusYoung,1.0,0.88,1.24,9996
MultiRocket,GunPointOldVersusYoung,1.0,2.64,3.57,49728
Hydra,Ham,0.762,1.4,1.28,6144
MultiRocket,FreezerRegularTrain,1.0,4.99,67.97,49728
Rocket,GunPointAgeSpan,0.997,6.6,14.42,20000
MiniRocket,Ham,0.714,1.48,1.23,9996
MultiRocket,Ham,0.724,4.12,3.34,49728
Rocket,GunPointMaleVersusFemale,1.0,6.63,14.58,20000
Rocket,GunPointOldVersusYoung,0.99,6.75,14.47,20000
Rocket,ChlorineConcentration,0.817,25.67,199.54,20000
Hydra,FordA,0.962,96.76,18.95,6144
MiniRocket,FordB,0.812,97.26,10.22,9996
Hydra,FordB,0.819,100.86,11.56,6144
Rocket,Ham,0.705,14.76,14.11,20000
MiniRocket,FordA,0.948,97.98,16.35,9996
Hydra,Herring,0.672,1.05,0.85,6144
MultiRocket,FreezerSmallTrain,0.995,1.49,68.16,49728
MiniRocket,Herring,0.656,1.05,0.88,9996
Hydra,Haptics,0.529,5.56,10.73,8192
MultiRocket,Herring,0.703,3.17,2.63,49728
Rocket,ECG5000,0.948,22.8,191.32,20000
MiniRocket,Haptics,0.539,4.85,8.67,9996
Hydra,HouseTwenty,0.966,2.96,8.75,8192
MiniRocket,HouseTwenty,0.966,2.61,6.24,9996
Rocket,Herring,0.703,9.7,9.61,20000
MultiRocket,Haptics,0.565,11.98,20.72,49728
Hydra,InsectEPGRegularTrain,1.0,1.17,4.83,7168
MultiRocket,HouseTwenty,0.992,7.21,17.73,49728
MiniRocket,InsectEPGRegularTrain,1.0,1.23,3.84,9996
MultiRocket,InsectEPGRegularTrain,1.0,4.02,12.17,49728
Hydra,InsectEPGSmallTrain,1.0,0.3,5.05,7168
MiniRocket,InlineSkate,0.473,5.38,26.6,9996
MultiRocket,InsectEPGSmallTrain,1.0,1.73,12.49,49728
MiniRocket,InsectEPGSmallTrain,0.992,0.57,3.87,9996
Hydra,InlineSkate,0.496,6.81,36.85,8192
Hydra,InsectWingbeatSound,0.651,1.45,11.92,5120
Rocket,InsectEPGRegularTrain,1.0,11.56,44.87,20000
Hydra,ItalyPowerDemand,0.965,0.03,0.23,2048
MiniRocket,InsectWingbeatSound,0.677,1.85,12.68,9996
MultiRocket,ItalyPowerDemand,0.97,0.98,3.48,49728
Rocket,InsectEPGSmallTrain,0.976,3.35,44.74,20000
Rocket,EOGHorizontalSignal,0.641,140.23,139.48,20000
MiniRocket,ItalyPowerDemand,0.966,0.24,0.71,9996
MiniRocket,HandOutlines,0.935,73.74,26.13,9996
Rocket,ItalyPowerDemand,0.968,0.88,8.53,20000
MultiRocket,InsectWingbeatSound,0.675,5.44,32.97,49728
Hydra,ElectricDevices,0.727,280.32,14.0,4096
Rocket,EOGVerticalSignal,0.547,140.29,138.2,20000
Hydra,Lightning2,0.754,1.37,1.33,7168
Hydra,Lightning7,0.808,0.71,0.67,6144
MiniRocket,Lightning2,0.738,1.23,1.07,9996
MultiRocket,Lightning2,0.689,4.08,3.6,49728
Hydra,LargeKitchenAppliances,0.867,7.67,7.18,7168
MiniRocket,Lightning7,0.822,0.83,0.7,9996
MultiRocket,Lightning7,0.836,2.82,2.4,49728
MiniRocket,LargeKitchenAppliances,0.861,7.57,6.92,9996
MultiRocket,InlineSkate,0.471,15.28,75.07,49728
Rocket,HouseTwenty,0.966,26.62,77.02,20000
Hydra,Meat,0.883,0.76,0.65,6144
MultiRocket,Meat,0.933,2.57,2.16,49728
Rocket,Lightning7,0.822,6.87,6.81,20000
MiniRocket,Meat,0.95,1.04,0.78,9996
Hydra,HandOutlines,0.943,96.93,35.02,9216
Hydra,MedicalImages,0.761,0.93,1.4,4096
MiniRocket,MedicalImages,0.797,1.47,1.82,9996
Hydra,MiddlePhalanxOutlineAgeGroup,0.604,0.84,0.22,4096
Rocket,Lightning2,0.754,11.94,11.97,20000
MultiRocket,LargeKitchenAppliances,0.888,18.17,15.41,49728
Rocket,Meat,0.95,8.49,8.35,20000
MiniRocket,MiddlePhalanxOutlineAgeGroup,0.604,1.46,0.39,9996
MultiRocket,MedicalImages,0.799,5.67,6.01,49728
Hydra,MiddlePhalanxOutlineCorrect,0.808,1.45,0.46,4096
MultiRocket,MiddlePhalanxOutlineAgeGroup,0.63,5.66,1.49,49728
Hydra,MiddlePhalanxTW,0.545,0.81,0.21,4096
MiniRocket,MiddlePhalanxOutlineCorrect,0.849,2.32,0.63,9996
MiniRocket,Crop,0.749,335.12,18.79,9996
MiniRocket,MiddlePhalanxTW,0.539,1.41,0.38,9996
Rocket,MiddlePhalanxOutlineAgeGroup,0.604,11.06,3.97,20000
MultiRocket,MiddlePhalanxOutlineCorrect,0.863,8.75,2.39,49728
MultiRocket,MiddlePhalanxTW,0.539,5.7,1.49,49728
Rocket,MiddlePhalanxTW,0.558,10.99,3.96,20000
Rocket,Haptics,0.523,51.22,101.19,20000
Rocket,MiddlePhalanxOutlineCorrect,0.852,16.76,7.34,20000
Rocket,MedicalImages,0.796,12.63,22.92,20000
MultiRocket,FordB,0.838,239.73,25.2,49728
Hydra,MoteStrain,0.932,0.05,2.09,4096
MultiRocket,FordA,0.957,233.77,41.68,49728
MultiRocket,MoteStrain,0.946,0.87,9.05,49728
MiniRocket,MoteStrain,0.932,0.29,2.47,9996
Hydra,Mallat,0.946,1.4,63.12,7168
MiniRocket,Mallat,0.953,1.79,61.02,9996
Rocket,FreezerRegularTrain,0.998,13.93,258.09,20000
Rocket,MoteStrain,0.914,0.77,32.08,20000
Rocket,FreezerSmallTrain,0.943,2.83,256.89,20000
MiniRocket,MixedShapesRegularTrain,0.972,14.12,62.98,9996
Hydra,MixedShapesSmallTrain,0.964,2.77,68.91,7168
MiniRocket,MixedShapesSmallTrain,0.955,3.0,63.1,9996
Hydra,OliveOil,0.933,0.53,0.46,7168
Hydra,MixedShapesRegularTrain,0.981,15.35,69.48,7168
Rocket,InsectWingbeatSound,0.659,17.68,152.04,20000
MiniRocket,OliveOil,0.933,0.7,0.54,9996
MultiRocket,OliveOil,0.967,1.92,1.53,49728
MultiRocket,HandOutlines,0.954,182.67,64.36,49728
Hydra,OSULeaf,0.983,2.36,2.68,6144
Rocket,OliveOil,0.933,5.52,5.39,20000
MiniRocket,OSULeaf,0.955,2.51,2.68,9996
MultiRocket,OSULeaf,0.963,7.18,7.09,49728
Hydra,PhalangesOutlinesCorrect,0.815,8.7,1.27,4096
MultiRocket,Mallat,0.926,4.33,136.52,49728
Rocket,LargeKitchenAppliances,0.907,82.79,82.43,20000
MiniRocket,PhalangesOutlinesCorrect,0.834,12.5,1.65,9996
MiniRocket,NonInvasiveFetalECGThorax1,0.947,43.87,37.29,9996
Hydra,NonInvasiveFetalECGThorax1,0.941,49.31,45.34,7168
Hydra,PickupGestureWiimoteZ,0.82,0.61,0.55,6144
MultiRocket,PickupGestureWiimoteZ,0.82,2.33,1.97,49728
MultiRocket,PhalangesOutlinesCorrect,0.853,40.48,5.91,49728
Rocket,OSULeaf,0.946,25.96,29.67,20000
Rocket,PickupGestureWiimoteZ,0.84,5.78,5.66,20000
MiniRocket,PickupGestureWiimoteZ,0.86,0.73,0.57,9996
Hydra,NonInvasiveFetalECGThorax2,0.963,48.94,44.93,7168
MiniRocket,PigAirwayPressure,0.865,5.97,10.82,9996
Hydra,PigAirwayPressure,0.572,7.65,14.02,8192
MiniRocket,NonInvasiveFetalECGThorax2,0.962,43.88,37.37,9996
MultiRocket,MixedShapesSmallTrain,0.965,7.9,152.38,49728
Rocket,PhalangesOutlinesCorrect,0.833,58.35,21.16,20000
Hydra,Phoneme,0.261,7.36,63.15,7168
MiniRocket,Phoneme,0.288,6.14,49.52,9996
Hydra,PigArtPressure,0.986,6.76,13.43,8192
MiniRocket,PigArtPressure,0.981,5.59,10.26,9996
Hydra,Plane,1.0,0.34,0.29,5120
MultiRocket,PigAirwayPressure,0.606,16.47,29.88,49728
MultiRocket,MixedShapesRegularTrain,0.982,36.5,156.18,49728
MiniRocket,Plane,1.0,0.65,0.47,9996
MultiRocket,Plane,1.0,2.21,1.6,49728
Hydra,PowerCons,0.978,0.68,0.58,5120
MultiRocket,PowerCons,0.983,3.49,2.54,49728
Rocket,Plane,1.0,4.95,4.73,20000
MiniRocket,PowerCons,0.989,0.9,0.7,9996
Hydra,ProximalPhalanxOutlineAgeGroup,0.863,0.92,0.28,4096
Hydra,PigCVP,0.947,7.48,14.86,8192
MiniRocket,PigCVP,0.952,5.93,10.79,9996
MiniRocket,ProximalPhalanxOutlineAgeGroup,0.849,1.43,0.48,9996
Hydra,ProximalPhalanxOutlineCorrect,0.876,1.41,0.4,4096
MultiRocket,PigArtPressure,0.952,13.89,25.67,49728
MultiRocket,ProximalPhalanxOutlineAgeGroup,0.854,5.43,1.8,49728
MiniRocket,ProximalPhalanxOutlineCorrect,0.907,2.36,0.64,9996
Hydra,ProximalPhalanxTW,0.81,0.8,0.28,4096
Rocket,PowerCons,0.933,8.33,8.02,20000
MiniRocket,ProximalPhalanxTW,0.82,1.43,0.49,9996
MultiRocket,ProximalPhalanxOutlineCorrect,0.928,8.74,2.32,49728
MultiRocket,ProximalPhalanxTW,0.824,5.53,1.82,49728
Rocket,ProximalPhalanxOutlineAgeGroup,0.854,11.03,5.21,20000
Rocket,ProximalPhalanxTW,0.824,10.83,4.92,20000
Rocket,ProximalPhalanxOutlineCorrect,0.897,16.67,7.31,20000
MultiRocket,PigCVP,0.88,16.69,30.37,49728
Hydra,RefrigerationDevices,0.477,9.46,8.9,7168
Hydra,Rock,0.86,2.04,5.16,9216
MiniRocket,RefrigerationDevices,0.488,7.54,6.87,9996
MiniRocket,Rock,0.78,2.12,3.82,9996
Rocket,EthanolLevel,0.578,274.72,270.41,20000
MultiRocket,NonInvasiveFetalECGThorax1,0.958,114.08,91.21,49728
MultiRocket,Rock,0.86,5.15,9.49,49728
Hydra,ScreenType,0.475,7.96,7.5,7168
MiniRocket,ScreenType,0.469,7.48,6.85,9996
MultiRocket,RefrigerationDevices,0.52,22.69,20.02,49728
MultiRocket,Phoneme,0.353,16.56,130.05,49728
Rocket,InlineSkate,0.462,60.58,332.4,20000
MultiRocket,NonInvasiveFetalECGThorax2,0.968,113.21,92.35,49728
MultiRocket,ScreenType,0.552,20.31,17.17,49728
MiniRocket,ElectricDevices,0.746,602.25,17.18,9996
MiniRocket,SemgHandGenderCh2,0.902,12.21,23.16,9996
Rocket,Rock,0.9,17.94,49.18,20000
Hydra,SemgHandGenderCh2,0.835,18.23,35.63,8192
Hydra,ShakeGestureWiimoteZ,0.88,0.54,0.51,6144
MultiRocket,ShakeGestureWiimoteZ,0.94,2.24,1.87,49728
MiniRocket,SemgHandMovementCh2,0.702,18.45,17.15,9996
MiniRocket,ShakeGestureWiimoteZ,0.88,0.75,0.6,9996
Hydra,ShapeletSim,0.989,0.31,2.89,6144
MultiRocket,Crop,0.774,604.08,78.7,49728
Rocket,ShakeGestureWiimoteZ,0.9,6.15,6.03,20000
Hydra,SemgHandMovementCh2,0.509,28.0,27.31,8192
MiniRocket,ShapeletSim,1.0,0.52,2.4,9996
MultiRocket,ShapeletSim,1.0,1.73,8.53,49728
Hydra,SemgHandSubjectCh2,0.762,27.9,27.58,8192
Hydra,ShapesAll,0.928,8.96,8.08,6144
MiniRocket,SemgHandSubjectCh2,0.862,18.49,17.68,9996
Rocket,ShapeletSim,1.0,3.27,26.14,20000
Rocket,PigAirwayPressure,0.087,68.28,130.42,20000
MiniRocket,ShapesAll,0.92,9.12,7.84,9996
Hydra,SmoothSubspace,0.967,0.04,0.01,1024
MultiRocket,SmoothSubspace,0.973,1.69,0.93,49728
Hydra,SmallKitchenAppliances,0.808,7.92,7.42,7168
Rocket,SmoothSubspace,0.98,1.26,0.99,20000
MiniRocket,SmoothSubspace,0.96,0.35,0.16,9996
Hydra,SonyAIBORobotSurface1,0.907,0.05,0.88,4096
MiniRocket,SmallKitchenAppliances,0.819,7.49,6.88,9996
MiniRocket,SonyAIBORobotSurface1,0.889,0.21,1.0,9996
MultiRocket,SonyAIBORobotSurface1,0.887,0.77,4.26,49728
Hydra,SonyAIBORobotSurface2,0.956,0.05,1.29,4096
MultiRocket,ShapesAll,0.928,24.43,19.91,49728
MultiRocket,SemgHandGenderCh2,0.943,40.78,76.88,49728
MultiRocket,SonyAIBORobotSurface2,0.939,0.83,6.24,49728
MiniRocket,SonyAIBORobotSurface2,0.91,0.22,1.43,9996
Rocket,PigArtPressure,0.957,68.51,132.14,20000
Rocket,SonyAIBORobotSurface1,0.917,0.67,13.02,20000
Rocket,Crop,0.753,495.19,246.23,20000
MultiRocket,SmallKitchenAppliances,0.821,18.98,16.51,49728
Hydra,Strawberry,0.97,3.93,1.95,5120
Rocket,RefrigerationDevices,0.533,80.38,79.33,20000
MultiRocket,SemgHandMovementCh2,0.802,59.37,55.05,49728
Hydra,SwedishLeaf,0.968,1.45,1.38,4096
Rocket,SonyAIBORobotSurface2,0.915,0.77,19.03,20000
MiniRocket,Strawberry,0.981,4.76,2.21,9996
Rocket,PigCVP,0.938,68.05,132.46,20000
MiniRocket,SwedishLeaf,0.966,2.4,1.92,9996
MultiRocket,Strawberry,0.976,14.32,6.07,49728
MultiRocket,SwedishLeaf,0.976,8.34,6.22,49728
Hydra,SyntheticControl,0.98,0.37,0.25,3072
Hydra,Symbols,0.858,0.22,10.45,6144
MultiRocket,SemgHandSubjectCh2,0.916,61.35,57.64,49728
MiniRocket,SyntheticControl,0.98,0.93,0.52,9996
MultiRocket,SyntheticControl,0.997,3.84,2.17,49728
Hydra,ToeSegmentation1,0.965,0.32,1.91,6144
MiniRocket,Symbols,0.982,0.47,9.92,9996
Rocket,ScreenType,0.485,83.14,82.04,20000
MiniRocket,ToeSegmentation1,0.961,0.5,1.65,9996
Hydra,ToeSegmentation2,0.892,0.34,1.24,6144
MultiRocket,ToeSegmentation1,0.947,1.5,4.89,49728
Rocket,SyntheticControl,1.0,6.53,5.78,20000
MiniRocket,ToeSegmentation2,0.915,0.51,1.13,9996
Hydra,Trace,1.0,0.84,0.77,6144
MultiRocket,ToeSegmentation2,0.908,1.67,3.6,49728
MultiRocket,Symbols,0.981,1.44,25.33,49728
MiniRocket,Trace,1.0,0.95,0.79,9996
MultiRocket,Trace,1.0,3.08,2.51,49728
Hydra,TwoLeadECG,0.999,0.04,1.76,4096
MiniRocket,TwoLeadECG,0.998,0.23,2.24,9996
MultiRocket,TwoLeadECG,0.998,0.86,8.07,49728
Rocket,SwedishLeaf,0.966,19.86,22.92,20000
Rocket,ToeSegmentation2,0.923,3.97,13.58,20000
Rocket,ToeSegmentation1,0.965,3.59,19.17,20000
Hydra,UMD,0.993,0.14,0.55,5120
Rocket,Trace,1.0,8.61,8.46,20000
MultiRocket,UMD,0.993,1.16,2.16,49728
MiniRocket,UMD,0.993,0.33,0.63,9996
Hydra,TwoPatterns,0.976,4.07,10.41,4096
Rocket,UMD,0.993,1.92,6.75,20000
Rocket,TwoLeadECG,0.999,0.8,27.68,20000
MiniRocket,TwoPatterns,0.997,5.72,11.95,9996
Rocket,Strawberry,0.981,45.45,26.27,20000
Rocket,CinCECGTorso,0.837,21.4,820.26,20000
Rocket,FordB,0.807,618.23,122.07,20000
Hydra,UWaveGestureLibraryX,0.848,9.02,29.44,6144
MultiRocket,TwoPatterns,1.0,21.64,44.72,49728
Rocket,SmallKitchenAppliances,0.821,79.52,79.85,20000
Rocket,ShapesAll,0.907,93.03,90.58,20000
Rocket,Symbols,0.974,3.33,119.82,20000
MiniRocket,UWaveGestureLibraryX,0.846,9.37,27.91,9996
Hydra,UWaveGestureLibraryY,0.79,8.86,29.72,6144
Rocket,FordA,0.95,611.77,199.66,20000
MultiRocket,UWaveGestureLibraryX,0.872,26.53,69.42,49728
MiniRocket,UWaveGestureLibraryY,0.771,9.43,27.69,9996
Hydra,UWaveGestureLibraryZ,0.788,9.13,30.12,6144
MiniRocket,UWaveGestureLibraryAll,0.973,22.82,83.14,9996
Hydra,UWaveGestureLibraryAll,0.973,26.31,98.49,7168
Hydra,Wine,0.907,0.3,0.25,5120
MultiRocket,Wine,0.87,1.72,1.33,49728
Hydra,Wafer,1.0,5.52,22.84,5120
Rocket,Wine,0.778,4.3,4.0,20000
MiniRocket,Wine,0.907,0.55,0.42,9996
Hydra,WordSynonyms,0.743,2.02,4.46,6144
MiniRocket,UWaveGestureLibraryZ,0.795,9.42,27.93,9996
MiniRocket,Wafer,1.0,6.03,21.24,9996
MultiRocket,UWaveGestureLibraryY,0.805,26.76,70.27,49728
MiniRocket,WordSynonyms,0.754,2.28,4.39,9996
MultiRocket,WordSynonyms,0.777,6.49,10.84,49728
Hydra,Worms,0.753,5.18,2.11,7168
MiniRocket,Worms,0.766,4.65,1.88,9996
Hydra,WormsTwoClass,0.727,5.05,2.1,7168
MultiRocket,Worms,0.753,13.14,5.33,49728
Rocket,TwoPatterns,1.0,41.67,148.26,20000
MiniRocket,WormsTwoClass,0.792,4.56,1.87,9996
Hydra,StarLightCurves,0.981,26.61,199.3,7168
MultiRocket,UWaveGestureLibraryZ,0.815,26.59,69.75,49728
MultiRocket,WormsTwoClass,0.792,12.76,5.44,49728
MiniRocket,StarLightCurves,0.981,28.8,213.34,9996
MultiRocket,Wafer,0.999,21.79,70.64,49728
Rocket,SemgHandGenderCh2,0.908,134.99,267.16,20000
Hydra,Yoga,0.93,3.42,33.6,6144
MiniRocket,Yoga,0.908,3.71,31.55,9996
Rocket,WordSynonyms,0.754,22.4,51.89,20000
Rocket,SemgHandMovementCh2,0.667,201.14,201.55,20000
Rocket,Worms,0.74,50.36,21.25,20000
Rocket,WormsTwoClass,0.805,49.76,19.4,20000
MultiRocket,Yoga,0.919,10.39,80.98,49728
Rocket,SemgHandSubjectCh2,0.887,209.09,207.63,20000
Rocket,Mallat,0.956,17.62,735.85,20000
MultiRocket,ElectricDevices,0.737,1018.38,55.55,49728
MultiRocket,UWaveGestureLibraryAll,0.981,65.27,223.8,49728
Rocket,Phoneme,0.276,68.26,594.6,20000
Rocket,MixedShapesSmallTrain,0.94,32.06,759.82,20000
Rocket,ElectricDevices,0.73,937.2,223.18,20000
MultiRocket,StarLightCurves,0.982,63.43,410.18,49728
Rocket,Wafer,0.999,50.18,280.42,20000
Rocket,UWaveGestureLibraryX,0.853,95.73,337.93,20000
Rocket,NonInvasiveFetalECGThorax1,0.951,424.76,446.59,20000
Rocket,UWaveGestureLibraryY,0.774,91.72,316.53,20000
Rocket,NonInvasiveFetalECGThorax2,0.969,414.02,422.85,20000
Rocket,UWaveGestureLibraryZ,0.798,92.38,336.81,20000
Rocket,Yoga,0.916,39.41,383.85,20000
Rocket,HandOutlines,0.943,908.13,323.87,20000
Rocket,MixedShapesRegularTrain,0.969,159.59,937.66,20000
Rocket,UWaveGestureLibraryAll,0.976,386.11,1030.63,20000
Rocket,StarLightCurves,0.979,337.8,3227.28,20000
WEASEL,Chinatown,0.948,23.11,3.15,70,-0.11383684545206563
WEASEL,BME,0.913,32.27,3.53,4311,-0.1804517152390545
WEASEL,BeetleFly,0.75,26.96,0.56,7641,-0.21368370961883007
WEASEL,Car,0.917,25.37,1.2,13851,-0.21837233663183753
WEASEL,Coffee,1.0,27.19,0.65,3967,-0.10638537978903537
WEASEL,Beef,0.833,25.22,3.44,5496,-0.4915846265283841
WEASEL,BirdChicken,0.9,26.05,3.57,6581,-0.23184442612348524
WEASEL,ArrowHead,0.874,26.16,4.06,11681,-0.2218089072461926
WEASEL,CBF,0.993,24.84,5.52,2128,-0.11356985996980754
