Classifier,Dataset,Accuracy,Fit,Predict,Features,Cross-Val
Hydra,ArrowHead,0.811,0.2,1.05,5120
Hydra,Adiac,0.818,1.75,1.49,5120
MultiRocket,Beef,0.767,1.91,1.47,49728
MiniRocket,ArrowHead,0.863,0.47,1.26,9996
MiniRocket,Adiac,0.841,2.46,1.81,9996
MiniRocket,Car,0.917,1.14,0.96,9996
MiniRocket,ACSF1,0.92,4.25,3.87,9996
Hydra,Chinatown,0.983,0.03,0.09,2048
Hydra,CBF,0.992,0.09,2.4,4096
MultiRocket,Chinatown,0.977,0.74,1.62,49728
MiniRocket,CBF,0.999,0.31,2.81,9996
MiniRocket,Chinatown,0.983,0.2,0.34,9996
Hydra,BirdChicken,0.9,0.29,0.24,6144
Rocket,Chinatown,0.983,0.44,3.0,20000
MiniRocket,Beef,0.867,0.63,0.47,9996
Hydra,BME,1.0,0.12,0.44,4096
Hydra,BeetleFly,0.95,0.38,0.33,6144
Hydra,Beef,0.833,0.49,0.47,6144
MiniRocket,BME,1.0,0.33,0.69,9996
MiniRocket,BeetleFly,0.9,0.66,0.4,9996
MiniRocket,BirdChicken,0.9,0.6,0.41,9996
Hydra,Coffee,1.0,0.26,0.21,6144
MultiRocket,BirdChicken,0.9,1.55,1.22,49728
Hydra,Car,0.933,1.26,1.13,7168
MiniRocket,Coffee,1.0,0.58,0.31,9996
Hydra,ACSF1,0.85,5.29,4.91,8192
MultiRocket,BeetleFly,0.9,2.02,1.26,49728
MultiRocket,BME,1.0,1.3,2.16,49728
MultiRocket,Coffee,1.0,1.45,1.12,49728
MultiRocket,ArrowHead,0.863,1.64,3.56,49728
MultiRocket,CBF,0.996,1.2,10.95,49728
MultiRocket,Car,0.917,3.41,2.84,49728
Rocket,BirdChicken,0.9,3.58,3.36,20000
Rocket,BeetleFly,0.9,3.54,3.41,20000
Rocket,Coffee,1.0,3.0,2.97,20000
Rocket,ArrowHead,0.817,3.01,14.98,20000
Rocket,BME,1.0,1.89,7.19,20000
Rocket,Beef,0.833,5.28,5.23,20000
MultiRocket,ACSF1,0.89,9.48,8.71,49728
Rocket,Car,0.9,11.23,12.03,20000
